symptoms,label
cognitive memory joint abdominal in pain anemia children delays difficulties loss fatigue or developmental pain,Lead Poisoning
redness swelling warmth pain or tenderness at the wound site pus or drainage from the wound fever malaise constant,Infection of Open Wound
persistent knee pain stiffness swelling limited range of motion since this morning,Chronic Knee Pain
chronic constipation abdominal distension failure to pass meconium in newborns,Hirschsprung Disease
excessively concentrated urine low stock sodium levels,Syndrome of Inappropriate Secretion of ADH (SIADH)
swollen salivary glands usually parotid fever concern fatigue,Mumps
fatigue chest cough shortness weight of breath loss tightness wheezing chronic,Emphysema
growth on the conjunctiva white part of the eye,Pterygium
gradual vision vision peripheral of loss tunnel,Open-Angle Glaucoma
vaginal bleeding painless shed blood in the third trimester,Placenta Previa
cramps fingers in mouth the around numbness or or tingling muscle,Hypocalcemia
to leg knee inability swelling the pain straighten,Dislocation of the Patella
worse during exertion red scaly patches on the skin itching,Psoriasis
small rough growths on the skin or mucous membranes typically painless may appear in clusters or as single lesions,Viral Warts
irregular periods excessive hair growth acne weight gain ovarian cysts since this morning,Polycystic Ovarian Syndrome
dry weakness constipation weight skin cholesterol to sensitivity levels gain cold depression elevated muscle fatigue,Hypothyroidism
severe sore throat difficulty swallowing fever swollen tonsils voice changes neck trouble or stiffness,Peritonsillar Abscess
irregular periods excessive hair growth acne weight gain ovarian cysts noticed after exercise,Polycystic Ovarian Syndrome
recurrent disabling migraines worse at night,Chronic Migraine
problems coordination use impairment drowsiness as consequences symptoms such when use poor tremors health sedation anxiety despite continued stop insomnia anxiety memory relaxation to or attempting reduced risks reduce negative rebound such withdrawal as relationship,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
nasal congestion runny nose sneezing facial pain or pressure loss of smell constant,Nose Disorder
neurological symptoms that cannot be explained by a medical condition or injury such as paralysis blindness seizures or difficulty speaking started after cold,Conversion Disorder
sedation relaxation reduced anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce benzodiazepine use continued use despite negative consequences such as relationship problems health risks,Benzodiazepine Use Disorder
cough shortness of breath wheezing chest pain pyrexia night sweats fatigue weight loss elevated eosinophil count in the blood or sputum,Pulmonary Eosinophilia
neck pain stiffness and abnormal head positioning,Torticollis
confusion forgetfulness personality changes tremors severe,Hepatic Encephalopathy
tingling numbness and pain in the hand and feel,Carpal Tunnel Syndrome
loss weakness of chronic muscle sensation pain,Syringomyelia
abdominal pain bloating changes in bowel movements,Diverticulosis
joint pain swelling hardness limited range of motion fever rash,Juvenile Rheumatoid Arthritis
since this morning sedation relaxation reduced anxiety drowsiness poor coordination memory impairment withdrawal symptoms such as rebound anxiety insomnia tremors when attempting to stop or reduce use continued use despite negative consequences such as relationship problems health risks,"Sedative, Hypnotic, or Anxiolytic Use Disorder"
bloody abdominal stool bloating constipation nausea vomiting pain,Volvulus
moderate heartburn acid reflux chest pain,Gastroesophageal Reflux Disease (GERD)
wasting difficulty degeneration and muscle progressive muscle moving walking or weakness,Muscular Dystrophy
fatigue constipation dry aches weight muscle and skin stiffness to depression sensitivity gain cold,Hashimoto Thyroiditis
nausea vomiting early satiety bloating abdominal pain poor appetite,Gastroparesis
severe severe abdominal pain tenderness bloating fever nausea vomiting loss of appetite increased heart rate,Peritonitis
muscle weakness or fatigue irregular heartbeat or palpitations numbness or tingling nausea or vomiting,Hyperkalemia
increased red blood cell count fatigue headache dizziness itching enlarged spleen worse at night,Polycythemia Vera
swelling pain tenderness difficulty use up,Sialolithiasis
cervix pain stiffness and abnormal head positioning,Torticollis
wheezy shortness of breath chest tightness,Acute Bronchospasm
mild inattention hyperactivity impulsivity,Attention Deficit Hyperactivity Disorder (ADHD)
fatigue weakness pale skin fever present,Anemia due to Chronic Kidney Disease
irregular or rapid heartbeat palpitations shortness of breath chest pain or discomfort dizziness or lightheadedness fatigue,Atrial Fibrillation
floaters in vision muzzy vision eye pain,Vitreous Hemorrhage
in fatigue difficulty feelings baby sleep persistent pleasure of crying the bonding or of activities irritability or thoughts appetite decisions hopelessness with sadness concentrating self changes making harm interest overwhelming worthlessness or of harming feelings patterns in frequent trouble the or or loss or baby emptiness guilt of,Postpartum Depression
impetuous behaviors e g gambling stealing difficulty resisting urges,Impulse Control Disorder
nasal congestion runny nose sneezing facial pain or pressure loss of smell,Nose Disorder
redness swelling discharge from the curve,Open Wound from Surgical Incision
pain swelling bruising deformity restricted range of motion difficulty gripping or using the finger severe,Injury to the Finger
since this morning redness itching watery discharge swollen eyelids,Conjunctivitis due to Allergy
heavy or prolonged menstrual periods pelvic pain or pressure frequent urination difficulty emptying the bladder constipation backache leg pain enlarged abdomen or uterus infertility or recurrent miscarriages in some cases constant,Uterine Fibroids
pain or tenderness on the outer side of the elbow weak grip strength difficulty with forearm movements,Lateral Epicondylitis (Tennis Elbow)
fatigue pale skin patronise infections easy bleeding or bruising,Leukemia
dehydration persistent visible fussiness peristalsis mass hunger weight loss palpable,Pyloric stenosis
red swollen itchy bumps,Insect Bites
fatigue weight gain sensitivity to cold dry skin constipation depression muscle weakness elevated cholesterol levels,Hypothyroidism
worse at night neck pain stiffness and abnormal head positioning,Torticollis
skin sores fever weight loss enlarged spleen or liver improved with rest,Leishmaniasis
severe pain in the side or back blood in the urine frequent urination constant,Kidney Stone
dry flaky skin with itchiness,Dry Skin
episodes compensatory without recurrent eating of binge behaviors,Binge Eating Disorder
rash itching redness peeling skin improved with rest,Fungal Infection of the Skin
vaginal bleeding painless bleeding in the third trimester,Placenta Previa
severe upper abdominal pain nausea vomiting fever rapid pulse swollen and tender abdomen jaundice improved with rest,Acute Pancreatitis
increased blood sugar levels increased ketone production excessive thirst frequent urination fatigue confusion fruity breath odor noticed after exercise,Hyperosmotic Hyperketotic State
infertility periods painful pelvic pain,Endometriosis
awful ulcers or sores on the genital area swollen lymph nodes in the groin,Chancroid
numbness confusion body of the side speaking on understanding arm or the leg sudden or trouble typically or face one weakness severe headache of,Stroke
